Movie,The Hero of Color City,The Hero of Color City,2014,77,"Animation,family"
Movie,Rings,Rings,2017,102,"Drama,horror,romance"
Tvseries,The Nine Lives of Chloe King,The Nine Lives of Chloe King,2011,60,"Action,adventure,crime"
Movie,Tranced,Tranced,2010,,"Drama,fantasy,romance"
Tvepisode,Episode dated 28 November 2010,Episode dated 28 November 2010,2010,,"Drama,romance"
Tvepisode,Sex and Violence,Sex and Violence,2016,,"Drama,sci-fi"
Tvepisode,Xô Perereca,Xô Perereca,2010,32,Comedy
Tvepisode,Death Climb,Death Climb,2011,42,"Biography,documentary,drama"
Tvepisode,The Ego Show,The Ego Show,2014,,"Comedy,drama"
Tvepisode,Episode #1.16,Episode #1.16,2012,,"Comedy,news,talk-show"
Movie,Who Is Harry Nilsson (And Why Is Everybody Talkin'' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin'' About Him?),2010,116,"Biography,documentary,music"
Movie,Love & Other Drugs,Love & Other Drugs,2010,112,"Comedy,drama,romance"
Movie,Syrup,Syrup,2013,90,"Comedy,drama,romance"
Movie,A Thousand Words,A Thousand Words,2012,91,"Comedy,drama"
Movie,Escape from Planet Earth,Escape from Planet Earth,2013,89,"Adventure,animation,comedy"
Movie,Have You Seen Me?,Have You Seen Me?,2016,,Comedy
Movie,Horrorween,Horrorween,2011,,"Comedy,horror"
Movie,The Legend of Secret Pass,The Legend of Secret Pass,2010,92,"Animation,family,fantasy"
Movie,Waste of Space,Waste of Space,2010,78,"Adventure,comedy,sci-fi"
Tvepisode,Episode #5.45,Episode #5.45,2011,,Drama
Movie,Me and My Umbrella,Eu e Meu Guarda-Chuva,2010,78,"Family,fantasy"
Movie,Night of the Templar,Night of the Templar,2013,101,"Horror,mystery"
Movie,What''s Your Number?,What''s Your Number?,2011,106,"Comedy,romance"
Movie,California Indian,California Indian,2011,90,Drama
Movie,King of the Avenue,King of the Avenue,2010,83,"Drama,fantasy,thriller"
Movie,Samsara,Samsara,2011,102,"Documentary,music"
Movie,Till You Get to Baraboo,Till You Get to Baraboo,2011,80,"Comedy,romance"
Movie,Man of Steel,Man of Steel,2013,143,"Action,adventure,fantasy"
Movie,Jersey Justice,Jersey Justice,2014,100,"Action,thriller"
Movie,Kill,Kill,2011,90,"Comedy,horror,thriller"
Movie,The Chosen Heaven,El cielo elegido,2010,123,"Drama,thriller"
Movie,Cell,Cell,2016,98,"Action,drama,horror"
Movie,The Rain Fairy,Destová víla,2010,100,"Family,fantasy"
Movie,The Illusionist,L''illusionniste,2010,80,"Animation,drama"
Movie,Night Catches Us,Night Catches Us,2010,90,"Drama,romance"
Movie,Drive,Drive,2011,100,"Crime,drama"
Tvseries,The Being Experience: The Prologue,In the Woods,2013,100,Mystery
Movie,Kid Cannabis,Kid Cannabis,2014,110,"Biography,comedy,crime"
Movie,Santorini Blue,Santorini Blue,2013,90,"Comedy,drama"
Movie,War of the Dead,War of the Dead,2011,86,"Action,adventure,horror"
Movie,The Wolfman,The Wolfman,2010,103,"Drama,fantasy,horror"
Movie,Escalade,Escalade,2011,80,Thriller
Movie,Irreversi,Irreversi,2010,,Thriller
